n,rep,m,status,MSE,sup,l2,time_ms
66,2,87120,ok,1.3615582015713187e-07,0.0023233313424250446,0.0010154667170249512,8112.432082998566
66,3,87120,attempt,,,,
66,3,87120,ok,1.6529559204476622e-07,0.0022386479165797946,0.0010000500497437635,7781.1893969919765
66,4,87120,attempt,,,,
66,4,87120,ok,1.1759875374946863e-07,0.0028967334172647075,0.0015327448362861566,7711.0230660036905
66,5,87120,attempt,,,,
66,5,87120,ok,1.2381632251450486e-07,0.002935732317945694,0.0013820452347132253,7785.117963008815
66,6,87120,attempt,,,,
66,6,87120,ok,1.3239356374086615e-07,0.0025229610874534236,0.0011995659680844155,7641.535277987714
66,7,87120,attempt,,,,
66,7,87120,ok,1.548992677141317e-07,0.0035328929794026243,0.0014434722680919478,7492.067519007833
66,8,87120,attempt,,,,
66,8,87120,ok,1.79713521578249e-07,0.0025873181062240347,0.0010434569158524374,7821.675498998957
66,9,87120,attempt,,,,
66,9,87120,ok,1.1652271065192273e-07,0.004693274270887948,0.0024644445791551436,7766.159500999493
81,0,131220,attempt,,,,
81,0,131220,ok,7.36912512353663e-08,0.002318992493849703,0.000941625105582245,12796.884248993592
81,1,131220,attempt,,,,
81,1,131220,ok,9.918885835796292e-08,0.002747430467618217,0.001172018633327874,12537.73493100016
81,2,131220,attempt,,,,
81,2,131220,ok,7.735557751942748e-08,0.0032509111329446228,0.0015562297085253186,12773.823896990507
81,3,131220,attempt,,,,
81,3,131220,ok,7.664943628090816e-08,0.004383430006405176,0.0023553154750653427,12721.607072991901
81,4,131220,attempt,,,,
81,4,131220,ok,8.68325956878304e-08,0.0019359290329593604,0.000697628973536252,12339.119491007295
81,5,131220,attempt,,,,
81,5,131220,ok,7.4383260805688e-08,0.002416852165006589,0.000798726768465342,12056.463436994818
81,6,131220,attempt,,,,
81,6,131220,ok,8.71524049079584e-08,0.0019042499408717384,0.0005883262290173752,12242.971258994658
81,7,131220,attempt,,,,
81,7,131220,ok,7.682926287237771e-08,0.0028402359906749552,0.0013146636960837134,12600.632147004944
81,8,131220,attempt,,,,
81,8,131220,ok,6.814549364340966e-08,0.003692934545878046,0.00187825456434226,12555.756438989192
81,9,131220,attempt,,,,
81,9,131220,ok,8.216038330393876e-08,0.003563681936776919,0.001718039004374964,13108.623502004775
100,0,200000,attempt,,,,
100,0,200000,ok,4.678257406590812e-08,0.00185233687731845,0.0009139520510928287,24192.176178999944
100,1,200000,attempt,,,,
100,1,200000,ok,4.342321255431005e-08,0.0014694238904896517,0.0008881459462745512,23050.978893006686
100,2,200000,attempt,,,,
100,2,200000,ok,4.825702978481273e-08,0.0024698831089631224,0.0010339261352244995,22649.925339996116
100,3,200000,attempt,,,,
100,3,200000,ok,4.425459858121871e-08,0.002750992562713772,0.0014794890391364164,23165.595409998787
100,4,200000,attempt,,,,
100,4,200000,ok,5.168308151963029e-08,0.0024140216002862536,0.001348545227875721,22924.46268699132
100,5,200000,attempt,,,,
100,5,200000,ok,4.787955722532278e-08,0.0015935098700269323,0.0007111791311452756,22677.167223999277
100,6,200000,attempt,,,,
100,6,200000,ok,5.3251503690451234e-08,0.001741234149082671,0.0007998663814730818,25055.484216994955
100,7,200000,attempt,,,,
100,7,200000,ok,5.11521661317205e-08,0.0036511420240493697,0.0022199738253936073,23096.245777007425
100,8,200000,attempt,,,,
100,8,200000,ok,4.408119378956304e-08,0.0012982661042164612,0.000540645138465917,22636.309831999824
100,9,200000,attempt,,,,
100,9,200000,ok,4.746101952697335e-08,0.0018839599307639565,0.0006951849024108489,23204.3374460045
